  release  -  production
2022-02-22 - 2025-02-23  🏷️ GL00001266942__1  - mbom 2022-03-04, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-22 - 2025-02-23  🏷️ GL00001266942__2  - mbom 2022-03-04, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-22 - 2025-02-23  🏷️ GL00001266942__3  - mbom 2022-03-04, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2022-02-22 - 2025-03-25  🏷️ GL00001267145__1  - mbom 2022-03-04, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-22 - 2025-03-25  🏷️ GL00001267145__2  - mbom 2022-03-04, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-22 - 2025-03-25  🏷️ GL00001267145__3  - mbom 2022-03-04, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2022-02-22 - 2025-04-23  🏷️ GL00001266862__1  - mbom 2022-03-04, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-22 - 2025-04-23  🏷️ GL00001266862__2  - mbom 2022-03-04, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-22 - 2025-04-23  🏷️ GL00001266862__3  - mbom 2022-03-04, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-22 - 2025-04-23  🏷️ GL00001266892__1  - mbom 2022-03-04, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-22 - 2025-04-23  🏷️ GL00001266892__2  - mbom 2022-03-04, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-22 - 2025-04-23  🏷️ GL00001266892__3  - mbom 2022-03-04, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-22 - 2025-04-23  🏷️ GL00001267322__1  - mbom 2022-03-04, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-22 - 2025-04-23  🏷️ GL00001267322__2  - mbom 2022-03-04, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-22 - 2025-04-23  🏷️ GL00001267322__3  - mbom 2022-03-04, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-22 - 2025-04-23  🏷️ GL00001267330__1  - mbom 2022-03-04, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-22 - 2025-04-23  🏷️ GL00001267330__2  - mbom 2022-03-04, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-22 - 2025-04-23  🏷️ GL00001267330__3  - mbom 2022-03-04, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2022-02-23 - 2025-04-23  🏷️ DT0000836148__1  - mbom 2022-03-05, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
